player_name,age,minutes_played,field_goal_success,goal_success_3P,goal_success_2P,effective_field_goal,total_rebounds,assist,steal,blocking,points
Aaron Brooks,33.0,189.0,0.406,0.355,0.447,0.486,17.0,20.0,6.0,0.0,75.0
Aaron Gordon,22.0,1909.0,0.434,0.336,0.497,0.5,457.0,136.0,59.0,45.0,1022.0
Aaron Harrison,23.0,233.0,0.275,0.209,0.385,0.341,24.0,11.0,9.0,2.0,60.0
Aaron Jackson,31.0,35.0,0.333,0.25,0.4,0.389,3.0,1.0,0.0,0.0,8.0
Abdel Nader,24.0,522.0,0.336,0.354,0.321,0.413,71.0,26.0,15.0,10.0,146.0
Adreian Payne,26.0,43.0,0.7,0.667,0.714,0.8,9.0,0.0,2.0,0.0,21.0
Al Horford,31.0,2277.0,0.489,0.429,0.514,0.553,530.0,339.0,43.0,78.0,927.0
Al Jefferson,33.0,484.0,0.534,0.0,0.541,0.534,143.0,30.0,16.0,23.0,252.0
Al-Farouq Aminu,27.0,2072.0,0.395,0.369,0.432,0.503,525.0,84.0,79.0,40.0,644.0
Alec Burks,26.0,1059.0,0.411,0.331,0.452,0.467,192.0,67.0,37.0,8.0,494.0
Alec Peters,22.0,225.0,0.378,0.31,0.625,0.5,37.0,12.0,2.0,2.0,82.0
Alex Abrines,24.0,1134.0,0.395,0.38,0.443,0.54,114.0,28.0,38.0,8.0,353.0
Alex Caruso,23.0,562.0,0.431,0.302,0.507,0.487,65.0,75.0,23.0,10.0,134.0
Alex Len,24.0,1395.0,0.566,0.333,0.568,0.567,518.0,82.0,27.0,61.0,587.0
Alfonzo McKinnie,25.0,53.0,0.533,0.333,0.833,0.633,7.0,1.0,1.0,1.0,21.0
Allen Crabbe,25.0,2197.0,0.407,0.378,0.461,0.529,324.0,117.0,47.0,35.0,990.0
Amir Johnson,30.0,1171.0,0.538,0.313,0.57,0.558,330.0,118.0,45.0,44.0,342.0
Andre Drummond,24.0,2625.0,0.529,0.0,0.536,0.529,1247.0,237.0,114.0,127.0,1171.0
Andre Iguodala,34.0,1622.0,0.463,0.282,0.567,0.514,246.0,210.0,54.0,38.0,384.0
Andre Ingram,32.0,64.0,0.471,0.556,0.375,0.618,6.0,7.0,3.0,3.0,24.0
Andre Roberson,26.0,1037.0,0.537,0.222,0.627,0.562,185.0,46.0,45.0,35.0,194.0
Andrew Harrison,23.0,1326.0,0.422,0.331,0.467,0.477,131.0,177.0,38.0,26.0,533.0
Andrew White,24.0,209.0,0.342,0.367,0.292,0.466,34.0,6.0,3.0,1.0,69.0
Andrew Wiggins,22.0,2979.0,0.438,0.331,0.475,0.481,358.0,160.0,91.0,51.0,1452.0
Anthony Davis,24.0,2727.0,0.534,0.34,0.558,0.552,832.0,174.0,115.0,193.0,2110.0
Anthony Tolliver,32.0,1757.0,0.464,0.436,0.561,0.632,241.0,90.0,32.0,21.0,703.0
