player_name,age,minutes_played,field_goal_success,goal_success_3p,goal_success_2p,effective_field_goal,total_rebounds,assist,steal,blocking,points
Aaron Brooks,33,189,0.406,0.355,0.447,0.486,17,20,6,0,75
Aaron Gordon,22,1909,0.434,0.336,0.497,0.5,457,136,59,45,1022
Aaron Harrison,23,233,0.275,0.209,0.385,0.341,24,11,9,2,60
Aaron Jackson,31,35,0.333,0.25,0.4,0.389,3,1,0,0,8
Abdel Nader,24,522,0.336,0.354,0.321,0.413,71,26,15,10,146
Adreian Payne,26,43,0.7,0.667,0.714,0.8,9,0,2,0,21
Al Horford,31,2277,0.489,0.429,0.514,0.553,530,339,43,78,927
Al Jefferson,33,484,0.534,0,0.541,0.534,143,30,16,23,252
Al-Farouq Aminu,27,2072,0.395,0.369,0.432,0.503,525,84,79,40,644
Alec Burks,26,1059,0.411,0.331,0.452,0.467,192,67,37,8,494
Alec Peters,22,225,0.378,0.31,0.625,0.5,37,12,2,2,82
Alex Abrines,24,1134,0.395,0.38,0.443,0.54,114,28,38,8,353
Alex Caruso,23,562,0.431,0.302,0.507,0.487,65,75,23,10,134
Alex Len,24,1395,0.566,0.333,0.568,0.567,518,82,27,61,587
Alfonzo McKinnie,25,53,0.533,0.333,0.833,0.633,7,1,1,1,21
Allen Crabbe,25,2197,0.407,0.378,0.461,0.529,324,117,47,35,990
Amir Johnson,30,1171,0.538,0.313,0.57,0.558,330,118,45,44,342
Andre Drummond,24,2625,0.529,0,0.536,0.529,1247,237,114,127,1171
Andre Iguodala,34,1622,0.463,0.282,0.567,0.514,246,210,54,38,384
Andre Ingram,32,64,0.471,0.556,0.375,0.618,6,7,3,3,24
Andre Roberson,26,1037,0.537,0.222,0.627,0.562,185,46,45,35,194
Andrew Harrison,23,1326,0.422,0.331,0.467,0.477,131,177,38,26,533
Andrew White,24,209,0.342,0.367,0.292,0.466,34,6,3,1,69
Andrew Wiggins,22,2979,0.438,0.331,0.475,0.481,358,160,91,51,1452
Anthony Davis,24,2727,0.534,0.34,0.558,0.552,832,174,115,193,2110
Anthony Tolliver,32,1757,0.464,0.436,0.561,0.632,241,90,32,21,703
Antonio Blakeney,21,314,0.371,0.288,0.418,0.423,33,20,7,1,151
Antonius Cleveland,23,82,0.412666667,0.583333333,0.284,0.508,9.333333333,1.333333333,4.666666667,3.333333333,15.33333333
Aron Baynes,31,1485,0.471,0.143,0.487,0.474,434,93,22,51,482
Arron Afflalo,32,682,0.401,0.386,0.413,0.485,66,30,4,9,179
Austin Rivers,25,2057,0.424,0.378,0.461,0.508,145,242,74,16,920
Avery Bradley,27,955.3333333,0.432,0.287,0.467333333,0.476666667,77.33333333,62.66666667,34,5.333333333,437.3333333
Bam Adebayo,20,1368,0.512,0,0.523,0.512,381,101,32,41,477
Ben McLemore,24,1091,0.421,0.346,0.477,0.495,139,51,38,15,422
Ben Simmons,21,2732,0.545,0,0.551,0.545,659,661,140,70,1279
Bismack Biyombo,25,1495,0.52,0,0.521,0.52,468,66,21,95,468
Blake Griffin,28,1313.333333,0.437333333,0.345,0.481,0.493,285.3333333,222.6666667,27.33333333,12,828
Bobby Brown,33,115,0.328,0.275,0.444,0.422,7,11,4,0,50
Bobby Portis,22,1643,0.471,0.359,0.514,0.52,498,123,50,23,964
Bogdan Bogdanovic,25,2175,0.446,0.392,0.485,0.529,223,258,72,16,917
Bojan Bogdanovic,28,2464,0.474,0.402,0.534,0.565,270,119,55,8,1141
Bradley Beal,24,2977,0.46,0.375,0.507,0.527,363,373,96,36,1857
Brandon Ingram,20,1975,0.47,0.39,0.483,0.497,314,230,45,43,949
Brandon Jennings,28,205,0.375,0.273,0.462,0.438,31,44,6,4,73
Brandon Paul,26,576,0.433,0.278,0.548,0.492,68,37,25,7,147
Briante Weber,25,158,0.442333333,0.269333333,0.46,0.488,23.33333333,14.66666667,12,3.333333333,33.33333333
Brice Johnson,23,68,0.556,0,0.594,0.556,22,1.5,7.5,4,29.5
Brook Lopez,29,1735,0.465,0.345,0.549,0.536,294,126,30,98,961
Bruno Caboclo,22,103.5,0.3,0.188,0.429,0.3505,21.5,3.5,2.5,4,26
Bryn Forbes,24,1517,0.421,0.39,0.446,0.51,110,80,28,2,555
Buddy Hield,24,2024,0.446,0.431,0.457,0.54,307,155,85,22,1079
C.J. Miles,30,1337,0.379,0.361,0.434,0.516,152,55,37,21,699
C.J. Williams,27,707,0.442,0.282,0.546,0.497,56,43,31,13,209
CJ McCollum,26,2923,0.443,0.397,0.465,0.506,321,272,77,35,1732
Caleb Swanigan,20,189,0.4,0.125,0.442,0.408,54,14,5,3,61
Cameron Payne,23,582,0.405,0.385,0.419,0.486,69,113,26,9,221
Caris LeVert,23,1864,0.435,0.347,0.48,0.493,260,299,82,22,858
Carmelo Anthony,33,2501,0.404,0.357,0.437,0.476,453,103,47,49,1261
Cedi Osman,22,672,0.484,0.368,0.586,0.57,120,41,22,3,238
Chandler Parsons,29,691,0.462,0.421,0.504,0.571,90,69,18,11,284
Channing Frye,34,463.3333333,0.484333333,0.344,0.655,0.579666667,90,25.33333333,12,8.666666667,176
Charles Cooke,23,38,0.143,0.125,0.167,0.179,2,1,1,0,6
Chris McCullough,22,90,0.429,0.125,0.5,0.44,25,4,0,5,46
Chris Paul,32,1847,0.46,0.38,0.532,0.55,313,457,96,14,1081
Clint Capela,23,2034,0.652,0,0.653,0.652,802,68,58,137,1026
Cody Zeller,25,627,0.545,0.667,0.542,0.551,177,31,14,21,233
Corey Brewer,31,805.3333333,0.448666667,0.270333333,0.538,0.499666667,102.6666667,43.33333333,52.66666667,9.333333333,253.3333333
Cory Joseph,26,2210,0.424,0.353,0.457,0.479,263,260,80,18,649
Courtney Lee,32,2310,0.454,0.406,0.482,0.529,224,180,80,17,913
Cristiano Felicio,25,977,0.591,0,0.596,0.591,233,55,16,11,308
D'Angelo Russell,21,1234,0.414,0.324,0.477,0.481,189,249,36,17,743
D.J. Augustin,30,1760,0.452,0.419,0.485,0.557,160,287,54,0,766
D.J. Wilson,21,71,0.563,0.4,0.636,0.625,10,3,3,1,21
Damian Lillard,27,2670,0.439,0.361,0.501,0.519,325,481,77,27,1962
Damien Wilkins,38,152,0.333,0.222,0.429,0.385,16,9,2,1,33
Damion Lee,25,404,0.408,0.25,0.511,0.457,71,29,19,1,161
Damyean Dotson,23,474,0.447,0.324,0.538,0.516,84,31,12,2,182
Daniel Theis,25,936,0.541,0.31,0.617,0.579,274,56,30,48,331
Danilo Gallinari,29,671,0.398,0.324,0.455,0.469,101,41,12,10,321
Danny Green,30,1791,0.387,0.363,0.419,0.49,249,110,63,80,600
Dante Cunningham,30,1041.333333,0.453,0.350666667,0.54,0.532666667,198.6666667,32,26,20,278
Dante Exum,22,235,0.483,0.278,0.536,0.511,26,43,8,3,114
Danuel House,24,403,0.434,0.259,0.577,0.492,76,25,7,6,152
Dario Saric,23,2310,0.453,0.393,0.501,0.541,520,202,51,20,1141
Darius Miller,27,1944,0.444,0.411,0.535,0.594,164,111,28,17,637
Darrell Arthur,29,141,0.468,0.348,0.583,0.553,15,9,8,3,54
Darren Collison,30,2018,0.495,0.468,0.508,0.571,178,368,92,15,855
Darrun Hilliard,24,95,0.263,0,0.385,0.263,7,11,2,0,16
David Nwaba,25,1646,0.478,0.346,0.496,0.499,326,104,59,29,555
David West,37,999,0.571,0.375,0.576,0.575,238,138,47,75,495
Davis Bertans,25,1086,0.44,0.373,0.588,0.568,153,74,26,28,456
